datetime,locationID,car_type
2017-01-01 00:00:01,36,taxi
2017-01-01 00:00:08,189,taxi
2017-01-01 00:00:16,117,taxi
2017-01-01 00:00:19,166,taxi
2017-01-01 00:00:22,61,taxi
2017-01-01 00:00:27,36,taxi
2017-01-01 00:00:27,17,taxi
2017-01-01 00:00:28,25,taxi
2017-01-01 00:00:28,179,taxi
2017-01-01 00:00:29,256,taxi
2017-01-01 00:00:30,82,taxi
2017-01-01 00:00:36,91,taxi
2017-01-01 00:00:39,70,taxi
2017-01-01 00:00:40,61,taxi
2017-01-01 00:00:45,152,taxi
2017-01-01 00:00:45,152,taxi
2017-01-01 00:00:50,228,taxi
2017-01-01 00:00:51,256,taxi
2017-01-01 00:00:51,166,taxi
2017-01-01 00:00:54,129,taxi
2017-01-01 00:00:55,82,taxi
2017-01-01 00:00:57,169,taxi
2017-01-01 00:00:59,95,taxi
2017-01-01 00:01:03,255,taxi
2017-01-01 00:01:04,33,taxi
2017-01-01 00:01:05,33,taxi
2017-01-01 00:01:07,82,taxi
2017-01-01 00:01:11,129,taxi
2017-01-01 00:01:15,42,taxi
2017-01-01 00:01:17,129,taxi
2017-01-01 00:01:17,41,taxi
2017-01-01 00:01:18,41,taxi
2017-01-01 00:01:19,80,taxi
2017-01-01 00:01:19,256,taxi
2017-01-01 00:01:21,74,taxi
2017-01-01 00:01:22,41,taxi
2017-01-01 00:01:24,75,taxi
2017-01-01 00:01:27,216,taxi
2017-01-01 00:01:28,215,taxi
2017-01-01 00:01:29,43,taxi
2017-01-01 00:01:31,112,taxi
2017-01-01 00:01:33,82,taxi
2017-01-01 00:01:35,41,taxi
2017-01-01 00:01:35,189,taxi
2017-01-01 00:01:37,25,taxi
2017-01-01 00:01:37,146,taxi
2017-01-01 00:01:38,181,taxi
2017-01-01 00:01:39,82,taxi
2017-01-01 00:01:40,112,taxi
2017-01-01 00:01:40,255,taxi
2017-01-01 00:01:46,17,taxi
2017-01-01 00:01:48,85,taxi
2017-01-01 00:01:51,7,taxi
2017-01-01 00:01:51,223,taxi
2017-01-01 00:01:52,166,taxi
2017-01-01 00:01:52,85,taxi
2017-01-01 00:01:56,134,taxi
2017-01-01 00:01:57,65,taxi
2017-01-01 00:01:57,75,taxi
2017-01-01 00:02:00,95,taxi
