,lat_6,lon_6,locationID,geohash_6,Zone
112,40.73,-74.0,113,dr5rsp,Greenwich Village North
113,40.73,-74.0,114,dr5rsp,Greenwich Village South
114,40.62,-74.1,115,dr5r46,Grymes Hill/Clifton
115,40.82,-74.0,116,dr72jp,Hamilton Heights
116,40.59,-73.8,117,dr5wbv,Hammels/Arverne
117,40.58,-74.2,118,dr5qbe,Heartland Village/Todt Hill
118,40.84,-73.9,119,dr72md,Highbridge
119,40.84,-73.9,120,dr72me,Highbridge Park
120,40.73,-73.8,121,dr5x8r,Hillcrest/Pomonok
121,40.71,-73.8,122,dr5x97,Hollis
122,40.59,-74.0,123,dr5qvh,Homecrest
123,40.66,-73.8,124,dr5rrc,Howard Beach
124,40.79,-74.0,125,dr72j1,Hudson Sq
125,40.81,-73.9,126,dr72nt,Hunts Point
126,40.87,-73.9,127,dr72mz,Inwood
127,40.87,-73.9,128,dr72tb,Inwood Hill Park
128,40.76,-73.9,129,dr5rye,Jackson Heights
129,40.69,-73.8,130,dr5x2x,Jamaica
130,17.99,-77.0,131,d71q27,Jamaica Estates
131,40.64,-73.8,132,dr5x1n,JFK Airport
132,40.65,-74.0,133,dr5rhz,Kensington
133,40.71,-73.8,134,dr5rxg,Kew Gardens
134,40.74,-73.8,135,dr5xb2,Kew Gardens Hills
135,40.87,-73.9,136,dr72w2,Kingsbridge Heights
136,40.74,-74.0,137,dr5ru8,Kips Bay
137,40.77,-73.9,138,dr5ryy,LaGuardia Airport
138,40.67,-73.8,139,dr5x3e,Laurelton
139,40.77,-74.0,140,dr5rvj,Lenox Hill East
140,40.77,-74.0,141,dr5rvj,Lenox Hill West
141,40.77,-74.0,142,dr5ruq,Lincoln Square East
142,40.77,-74.0,143,dr5ruq,Lincoln Square West
143,40.72,-74.0,144,dr5rsj,Little Italy/NoLiTa
144,37.73,-122.4,145,9q8yxk,Long Island City/Hunters Point
145,40.75,-73.9,146,dr5rvd,Long Island City/Queens Plaza
146,40.82,-73.9,147,dr72nq,Longwood
147,40.72,-74.0,148,dr5rsk,Lower East Side
148,30.46,-83.4,149,djktmc,Madison
149,40.58,-73.9,150,dr5qv6,Manhattan Beach
150,40.79,-74.0,151,dr72j1,Manhattan Valley
151,40.82,-74.0,152,dr72jn,Manhattanville
152,40.88,-73.9,153,dr72w1,Marble Hill
153,40.59,-73.9,154,dr5qys,Marine Park/Floyd Bennett Field
154,40.6,-73.9,155,dr5qyp,Marine Park/Mill Basin
155,40.64,-74.2,156,dr5r0m,Mariners Harbor
156,40.72,-73.9,157,dr5rwj,Maspeth
157,39.2,-96.6,158,9ygr1b,Meatpacking/West Village West
158,40.82,-73.9,159,dr72np,Melrose South
159,40.72,-73.9,160,dr5rwu,Middle Village
160,40.76,-74.0,161,dr5ru7,Midtown Center
161,40.75,-74.0,162,dr5ruc,Midtown East
162,40.77,-74.0,163,dr5rum,Midtown North
163,40.77,-74.0,164,dr5rum,Midtown South
164,40.62,-74.0,165,dr5rhf,Midwood
165,40.82,-73.9,166,dr72np,Morningside Heights
166,40.8,-73.9,167,dr72n5,Morrisania/Melrose
167,40.85,-73.9,168,dr72qh,Mott Haven/Port Morris
168,40.75,-74.0,169,dr5ru9,Mount Hope
169,40.76,-73.8,170,dr5xbk,Murray Hill
170,40.58,-74.1,171,dr5qcf,Murray Hill-Queens
171,40.75,-73.8,172,dr5rz9,New Dorp/Midland Beach
172,40.88,-73.9,173,dr72wc,North Corona
173,40.76,-73.8,174,dr5xc7,Norwood
174,40.56,-74.1,175,dr5qc2,Oakland Gardens
175,40.67,-73.9,176,dr5rqh,Oakwood
176,40.58,-74.0,177,dr5quf,Ocean Hill
177,40.77,-73.9,178,dr5rvw,Ocean Parkway South
178,40.67,-73.8,179,dr5rrs,Old Astoria
179,40.67,-74.0,180,dr5rk7,Ozone Park
180,40.84,-73.9,181,dr72r6,Park Slope
181,40.85,-73.8,182,dr72ru,Parkchester
182,40.86,-73.8,183,dr782j,Pelham Bay
183,40.86,-73.9,184,dr72rm,Pelham Bay Park
184,40.75,-74.0,185,dr5ru4,Pelham Parkway
185,40.64,-74.1,186,dr5r0v,Penn Station/Madison Sq West
186,40.66,-74.0,187,dr5rkf,Port Richmond
187,40.68,-74.0,188,dr5rkv,Prospect-Lefferts Gardens
188,40.66,-74.0,189,dr5rkd,Prospect Heights
189,40.73,-73.7,190,dr5x9y,Prospect Park
190,-33.87,151.2,191,r3gx33,Queens Village
191,40.76,-73.9,192,dr5rvs,Queensboro Hill
192,40.79,-73.9,193,dr72jf,Queensbridge/Ravenswood
193,40.67,-74.0,194,dr5r7u,Randalls Island
194,40.72,-73.9,195,dr5rxj,Red Hook
195,40.7,-73.8,196,dr5rxc,Rego Park
196,40.71,-73.9,197,dr5rw4,Richmond Hill
197,40.79,-73.9,198,dr72n9,Ridgewood
198,39.79,-84.2,199,dph47e,Rikers Island
199,40.58,-73.8,200,dr5qzg,Riverdale/North Riverdale/Fieldston
200,40.76,-74.0,201,dr5rvh,Rockaway Park
201,40.66,-73.7,202,dr5x64,Roosevelt Island
202,40.54,-74.2,203,dr5nxs,Rosedale
203,40.7,-73.8,204,dr5x98,Rossville/Woodrow
204,40.65,-74.1,205,dr5r1z,Saint Albans
205,40.75,-73.9,206,dr5ry1,Saint George/New Brighton
206,40.82,-73.8,207,dr780r,Saint Michaels Cemetery/Woodside
207,40.71,-74.0,208,dr5rs4,Schuylerville/Edgewater Park
208,40.58,-73.9,209,dr5qv7,Seaport
209,40.72,-74.0,210,dr5rsj,Sheepshead Bay
210,40.83,-73.8,211,dr72rb,SoHo
211,40.82,-73.8,212,dr72pw,Soundview/Bruckner
212,40.6,-74.1,213,dr5qcy,Soundview/Castle Hill
213,40.69,-73.8,214,dr5x2x,South Beach/Dongan Hills
214,40.67,-73.8,215,dr5x25,South Jamaica
215,33.77,-79.6,216,dnp2hs,South Ozone Park
216,40.68,-73.7,217,dr5x3v,South Williamsburg
217,40.68,-73.7,218,dr5x3v,Springfield Gardens North
218,40.88,-73.9,219,dr72w1,Springfield Gardens South
219,40.62,-74.1,220,dr5r47,Spuyten Duyvil/Kingsbridge
220,40.65,-73.9,221,dr5rnz,Stapleton
221,40.77,-73.9,222,dr5ryq,Starrett City
222,40.73,-74.0,223,dr5rsx,Steinway
223,40.68,-73.9,224,dr5rmt,Stuy Town/Peter Cooper Village
224,40.74,-73.9,225,dr5rv8,Stuyvesant Heights
225,40.65,-74.0,226,dr5r5z,Sunnyside
226,40.65,-74.0,227,dr5r5z,Sunset Park East
227,21.7,-158.0,228,87zeky,Sunset Park West
228,40.78,-74.0,229,dr5ruz,Sutton Place/Turtle Bay North
229,40.71,-74.0,230,dr5rs5,Times Sq/Theatre District
230,40.71,-74.0,231,dr5rs7,TriBeCa/Civic Center
231,40.76,-74.0,232,dr5rug,Two Bridges/Seward Park
232,45.5,-73.6,233,f25dvg,UN/Turtle Bay South
233,40.85,-73.9,234,dr72mu,Union Sq
234,40.77,-74.0,235,dr5rvn,University Heights/Morris Heights
235,40.77,-74.0,236,dr5rvn,Upper East Side North
236,40.79,-74.0,237,dr72h9,Upper East Side South
237,40.79,-74.0,238,dr72h9,Upper West Side North
238,40.9,-73.9,239,dr72wt,Upper West Side South
239,40.9,-73.9,240,dr72wt,Van Cortlandt Park
240,40.85,-73.9,241,dr72rk,Van Cortlandt Village
241,40.85,-73.9,242,dr72ms,Van Nest/Morris Park
242,40.85,-73.9,243,dr72ms,Washington Heights North
243,40.65,-74.1,244,dr5r1z,Washington Heights South
244,40.75,-74.0,245,dr5ru4,West Brighton
245,40.82,-73.9,246,dr72jz,West Chelsea/Hudson Yards
246,40.93,-73.8,247,dr72zg,West Concourse
247,40.79,-74.0,248,dr72j1,West Farms/Bronx River
248,40.83,-73.9,249,dr72r2,West Village
249,40.62,-74.1,250,dr5r14,Westchester Village/Unionport
250,40.79,-73.8,251,dr7804,Westerleigh
251,40.76,-73.8,252,dr5rze,Whitestone
252,40.88,-73.9,253,dr72x1,Willets Point
253,40.71,-74.0,254,dr5rt4,Williamsbridge/Olinville
254,40.71,-74.0,255,dr5rt4,Williamsburg (North Side)
255,45.12,-93.3,256,cbj8sm,Williamsburg (South Side)
256,40.69,-73.9,257,dr5rrr,Windsor Terrace
257,40.9,-73.9,258,dr72xm,Woodhaven
258,40.75,-73.9,259,dr5ry1,Woodlawn/Wakefield
259,40.71,-74.0,260,dr5reg,Woodside
260,40.78,-74.0,261,dr5rvp,World Trade Center
261,40.78,-74.0,262,dr5rvp,Yorkville East
262,35.48,-114.8,263,9qq3g4,Yorkville West
263,-0.0,-0.0,264,7zzzzz,NV
264,-0.0,-0.0,265,7zzzzz,
